Image_No,Item_description_english,Item_description_german,"food_num","processing_num","taste_num","category_num",protein_100g,fat_100g,carbs_100g,kcal_100g,no_items_image,gramms_total,protein_total,fat_total,carbs_total,Kcal_total,red,green,blue,object size,intensity,sd,complexity,norm. Complexity,medianpower,Recognizability,Familiarity,Valence,Arousal,Complexity,Palatability,Craving,Recognizability_Omnivor_Male,Recognizability_Omnivor_Female,Recognizability_Vegetarian_Male,Recognizability_Vegetarian_Female,Familiarity_Omnivor_Male,Familiarity_Omnivor_Female,Familiarity_Vegetarian_Male,Familiarity_Vegetarian_Female,Valence_Omnivor_Male,Valence_Omnivor_Female,Valence_Vegetarian_Male,Valence_Vegetarian_Female,Arousal_Omnivor_Male,Arousal_Omnivor_Female,Arousal_Vegetarian_Male,Arousal_Vegetarian_Female,Complexity_Omnivor_Male,Complexity_Omnivor_Female,Complexity_Vegetarian_Male,Complexity_Vegetarian_Female,Palatability_Omnivor_Male,Palatability_Omnivor_Female,Palatability_Vegetarian_Male,Palatability_Vegetarian_Female,Craving_Omnivor_Male,Craving_Omnivor_Female,Craving_Vegetarian_Male,Craving_Vegetarian_Female,,,
444,green bell pepper,grüne Paprikaschote,1,1,2,2,1,0.3,2.9,20,1,170,1.7,0.51,4.93,34,0.368282075,0.422109234,0.209608691,0.368951852,50.79536667,40.58053589,0.074092593,0.200819137,15.14041996,99.5,99.2,52.3,24.0,25.1,49.3,21.2,97.8,100.0,100.0,100.0,96.5,100.0,100.0,100.0,54.7,50.4,48.9,54.3,28.9,23.1,21.1,22.4,28.1,19.6,29.1,29.2,72.0,38.6,44.5,48.2,44.9,17.4,8.3,12.2,,,
445,yellow bell pepper,gelbe Paprikaschote,1,1,2,2,1.2,0.3,5.3,30,1,170,2.04,0.51,9.01,51,0.534041216,0.424299215,0.041659568,0.367907407,24.9474963,28.62916374,0.047962963,0.13036694,14.31307793,100.0,100.0,56.8,25.4,22.1,55.0,23.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,49.3,60.5,48.7,60.7,24.0,27.0,17.0,26.0,25.0,18.6,23.3,26.7,54.6,55.0,40.7,60.7,23.1,25.1,2.0,25.6,,,
446,"tomato, sliced ","Tomate, geschnitten",1,1,,2,1,0,3,17,1,80,0.8,0,2.4,13.6,0.648352308,0.247745298,0.103902394,0.257740741,33.949,50.66163635,0.060962963,0.236528237,15.68785095,98.2,98.4,59.5,36.8,31.8,64.2,37.3,95.0,98.7,100.0,100.0,93.3,100.0,100.0,100.0,55.3,60.5,69.5,59.7,39.8,35.4,48.0,34.6,30.5,30.7,48.3,32.0,57.0,67.7,49.0,67.6,40.0,40.3,24.3,31.9,,,
447,mixed vegetables,Gemüsemix,1,2,,2,3.3,0.42,9.28,56.62,1,130,4.29,0.546,12.064,73.606,0.402840289,0.444062066,0.153097645,0.473585185,48.46542593,56.02554321,0.128425926,0.27117809,15.65185547,98.2,100.0,61.2,33.2,39.9,61.9,33.7,100.0,96.7,100.0,97.5,100.0,100.0,100.0,100.0,54.9,57.2,63.3,81.2,33.3,27.7,43.8,40.9,39.9,42.1,40.0,35.1,56.3,58.3,69.8,77.0,36.6,30.9,45.5,29.2,,,
448,garden radish ,Bund Radieschen ,1,1,,2,1.05,0.14,2.13,15,6,180,1.89,0.252,3.834,27,0.453992965,0.331427157,0.214579878,0.326207407,42.14302963,62.25444794,0.104759259,0.321143104,16.47923851,97.1,97.6,52.3,28.6,30.5,47.2,21.4,93.0,98.0,100.0,100.0,94.7,98.0,100.0,100.0,45.6,53.7,73.0,55.0,37.3,25.1,1.0,28.4,32.2,27.3,12.0,37.2,47.7,51.1,10.0,42.8,31.6,21.6,1.0,10.8,,,
449,garden radish ,Radieschen ,1,1,,2,1.05,0.14,2.13,15,1,30,0.315,0.042,0.639,4.5,0.408483018,0.376940908,0.214576075,0.266892593,30.26106296,45.5098114,0.085277778,0.319520961,16.0400486,98.9,96.9,51.4,26.7,23.0,50.1,29.0,97.6,99.2,100.0,100.0,92.0,98.9,100.0,99.1,43.8,51.2,74.3,53.8,20.6,27.4,61.2,19.3,18.6,22.6,26.8,29.2,41.2,49.5,68.9,56.8,18.2,26.3,69.1,33.5,,,
450,hazelnuts ,Haselnüsse ,1,1,3,6,11.96,61.6,10.54,636,26,182,21.7672,112.112,19.1828,1157.52,0.531723978,0.304140454,0.164135567,0.418674074,46.53677778,55.76162338,0.120537037,0.287901842,17.36210442,98.4,98.0,49.8,23.9,26.9,51.0,24.4,95.8,98.5,100.0,101.2,91.7,100.0,100.0,101.2,49.3,47.2,60.7,54.5,22.9,23.3,31.5,25.2,28.9,22.3,49.7,30.3,47.1,50.6,55.8,56.0,32.1,21.7,5.2,24.9,,,
451,hazelnut ,Haselnuss ,1,1,3,6,11.96,61.6,10.54,636,1,7,0.8372,4.312,0.7378,44.52,0.592499265,0.308870503,0.098630232,0.389222222,48.82427037,41.32958984,0.084333333,0.216671424,16.60453796,63.3,83.8,45.8,27.9,28.9,48.0,20.3,61.8,53.1,75.0,75.7,83.0,75.8,75.0,100.2,47.1,42.0,28.6,57.1,35.6,20.0,17.8,35.3,26.7,23.2,25.4,41.1,57.6,41.4,30.4,54.3,28.3,13.8,12.1,24.5,,,
452,water melon,Wassermelone,1,1,1,1,0.6,0.2,8.28,38,0.50,1800,10.8,3.6,149.04,684,0.495318533,0.303935749,0.200745718,0.345803704,40.26343333,41.31664276,0.045425926,0.13136333,16.43225098,99.4,100.0,67.6,42.3,29.3,69.1,46.3,97.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,65.4,67.9,58.0,74.3,42.2,44.8,22.5,46.9,27.8,30.2,24.5,31.6,71.8,69.6,46.1,76.0,45.6,49.7,17.9,53.8,,,
453,peach,Pfirsich,1,1,,1,0.7,0.1,9.4,41,1,125,0.875,0.125,11.75,51.25,0.567952045,0.303217206,0.128830749,0.376533333,42.36381111,53.07107162,0.055148148,0.146462858,16.23669243,99.8,97.6,64.9,39.1,26.9,68.6,42.8,100.0,99.6,100.0,100.0,92.9,100.0,100.0,100.0,62.5,66.0,44.0,72.2,39.9,37.7,15.0,46.4,23.5,27.9,27.0,30.8,63.7,72.2,40.0,76.6,38.5,46.9,14.0,49.0,,,
454,pineapple ,Ananas ,1,1,1,1,0.4,0.2,12.4,53,0.5,450,1.8,0.9,55.8,238.5,0.381552145,0.400773273,0.217674583,0.318151852,36.66426667,62.33825302,0.095666667,0.300694986,18.0070076,100.0,100.0,65.2,41.0,36.1,75.4,49.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,64.1,63.8,62.4,68.9,33.0,43.5,29.1,46.2,26.3,38.5,44.8,40.0,72.9,75.7,77.8,76.9,51.4,52.0,24.4,47.5,,,
455,spinach,Spinat,1,1,2,2,2.52,0.3,0.55,17,1,80,2.016,0.24,0.44,13.6,0.331418149,0.48762494,0.180956911,0.400574074,51.56149259,63.48138428,0.138611111,0.346031159,17.24968719,83.2,96.0,60.9,31.2,31.8,57.8,31.6,84.2,86.3,0.0,84.6,98.3,97.2,0.0,100.0,53.0,63.7,55.0,65.5,26.4,37.1,1.0,29.6,34.2,28.3,23.0,35.6,47.6,61.3,72.0,62.0,34.7,34.6,75.0,19.3,,,
456,glass of beer,Glas Bier,1,2,,7,0.5,0,3.12,42,1,500,2.5,0,15.6,210,0.418082733,0.355255834,0.226661433,0.291033333,17.10008148,34.52680206,0.055851852,0.19190878,16.25285721,99.4,99.3,43.0,25.0,30.0,42.8,22.9,100.0,98.6,200.0,100.0,100.0,98.9,200.0,99.2,63.9,36.4,,27.8,39.2,20.6,,14.3,32.7,29.3,,27.6,64.8,39.5,,19.9,46.1,16.5,,4.5,,,
457,sesame seeds,Sesam,1,1,3,,17.7,50.4,10.2,559,250,60,10.62,30.24,6.12,335.4,0.505908236,0.323374213,0.170717551,0.411885185,37.93309259,62.14787292,0.185462963,0.450278305,17.29749107,68.3,72.4,48.5,25.1,31.4,41.8,22.6,69.0,63.3,66.7,75.8,78.6,77.4,66.7,58.1,47.0,46.8,49.0,52.9,25.8,23.4,36.3,23.8,26.0,33.0,29.7,36.2,42.1,43.2,36.7,40.6,26.6,20.2,16.3,23.2,,,
458,"lemon 1, half","Zitrone , halbe",1,1,3,1,0.45,0.38,5.17,36,0.5,92,0.414,0.3496,4.7564,33.12,0.499010443,0.404643985,0.096345572,0.350285185,26.92903704,30.54983902,0.037518519,0.107108494,15.78932381,98.1,99.4,61.9,34.6,34.7,52.9,19.2,100.0,98.2,100.0,95.3,100.0,100.0,87.5,100.0,63.9,59.2,67.1,64.5,47.9,28.4,34.0,32.4,35.6,37.1,23.9,30.8,53.1,53.9,39.3,53.3,30.0,16.0,10.1,15.0,,,
459,corn / maize,Mais,1,1,3,2,5.1,2.3,42,211.2,1,250,12.75,5.75,105,528,0.449095195,0.36284645,0.188058355,0.209740741,11.54675926,27.75870132,0.098240741,0.468391312,15.56506634,98.8,99.6,57.9,32.3,30.2,61.4,32.9,98.3,98.1,100.0,100.0,98.3,100.0,100.0,100.0,51.3,60.3,53.6,62.6,32.6,34.2,31.3,28.9,32.7,27.8,28.5,33.0,59.5,62.8,58.8,62.1,35.4,36.2,23.3,29.1,,,
460,tomato ,Tomate ,1,1,,2,1,0,3,17,1,80,0.8,0,2.4,13.6,0.754338191,0.205387224,0.040274584,0.467381481,70.75375556,27.64640617,0.029314815,0.062721387,15.46269131,96.6,100.0,60.3,30.9,17.7,62.9,31.1,95.0,96.5,100.0,98.4,100.0,100.0,100.0,100.0,55.0,59.7,51.0,69.7,31.7,26.9,30.0,39.4,18.3,15.0,54.0,18.6,54.5,65.3,62.0,67.7,25.6,33.3,43.0,30.9,,,
461,vegetables,Gemüse,1,1,2,2,1.77,0.24,2.39,20,9,1943,34.3911,4.6632,46.4377,388.6,0.456313976,0.344285494,0.199400529,0.298325926,44.31580741,62.56406021,0.068851852,0.230794061,17.052948,99.6,100.0,64.2,36.8,45.9,69.0,38.9,98.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,55.2,68.6,66.5,63.2,42.7,39.0,25.5,30.2,43.3,50.6,37.5,41.3,61.1,68.3,86.2,72.5,47.1,39.4,46.7,27.0,,,
462,plate with raw hamburger patties and sausages,Teller rohe Buletten und Würstchen,1,2,2,5,18,17.5,0.3,228.6,30,3700,666,647.5,11.1,8458.2,0.422532532,0.30609437,0.271373098,0.445959259,25.96354444,54.10370255,0.111722222,0.25052114,16.67193985,95.2,98.8,33.0,24.0,36.8,31.9,17.5,89.3,96.9,100.0,100.0,96.4,100.0,100.0,100.0,37.4,43.3,28.5,8.8,28.0,25.6,26.5,15.3,36.4,43.6,32.0,25.7,41.1,37.9,43.0,7.2,29.0,18.3,2.5,1.4,,,
463,fruits ,Früchte ,1,1,1,1,1.18,0.44,12.98,58.29,13,1020,12.036,4.488,132.396,594.558,0.516375592,0.356915909,0.126708499,0.437940741,50.10506667,55.69826508,0.065888889,0.150451609,16.58736038,91.7,95.0,63.0,36.4,53.8,67.2,45.2,98.0,90.1,200.0,87.5,100.0,89.7,200.0,100.0,51.1,66.0,,71.4,38.2,36.3,,34.3,48.3,56.8,,54.5,55.8,73.8,,67.4,36.6,50.0,,45.7,,,
464,fruits ,Früchte,1,1,,1,0.42,0.13,11.76,51.69,12,1990,8.358,2.587,234.024,1028.631,0.538100067,0.330404987,0.131494946,0.4228,54.35975556,55.98212433,0.070777778,0.167402502,16.80372238,99.6,99.7,69.7,42.6,46.8,72.7,48.2,100.0,99.8,100.0,98.4,100.0,100.0,100.0,98.4,75.6,67.6,54.5,69.8,56.7,40.6,16.0,32.7,52.3,43.3,49.5,45.7,73.3,76.6,54.0,67.3,62.7,48.8,20.5,32.0,,,
465,pralines,Pralinen,1,2,1,3,6.5,38,50,566,6,70,4.55,26.6,35,396.2,0.474303137,0.298107009,0.227589855,0.3539,58.99057778,60.98288727,0.090055556,0.254466108,16.76200676,99.9,99.1,59.3,46.7,45.9,69.1,49.3,100.0,99.8,100.0,100.0,99.2,98.3,100.0,100.0,68.2,60.0,43.5,52.5,51.5,46.0,45.0,43.1,49.6,42.6,40.8,48.6,75.7,70.2,58.0,62.9,60.8,47.6,36.0,43.1,,,
466,green apple ,grüner Apfel ,1,1,,1,0.34,0,11.43,52,1,220,0.748,0,25.146,114.4,0.3964734,0.469462993,0.134063607,0.430537037,30.15664444,25.32380295,0.045277778,0.105165814,15.50090122,100.0,96.1,58.4,31.4,23.0,60.7,38.4,100.0,100.0,100.0,100.0,86.4,100.0,100.0,100.0,54.5,59.1,56.8,62.7,25.6,30.3,40.3,38.3,25.7,20.9,25.1,22.8,60.2,65.4,58.1,52.7,38.4,36.6,37.1,42.7,,,
467,rasberry,Himbeere,1,1,1,1,1.3,0.3,4.8,34,1,5,0.065,0.015,0.24,1.7,0.684352438,0.144784785,0.170862777,0.351322222,55.79482963,38.85815048,0.046981481,0.133727611,15.9921236,97.6,97.9,73.3,48.8,29.0,76.0,52.9,100.0,95.7,100.0,95.8,93.6,100.0,100.0,100.0,69.6,75.3,69.1,78.4,52.8,51.0,48.1,34.3,23.3,34.1,24.8,29.8,74.1,76.6,72.3,80.6,58.2,56.0,39.6,41.4,,,
468,blackberry ,Brombeere ,1,1,1,1,1.2,1,2.7,30,1,5,0.06,0.05,0.135,1.5,0.456859254,0.2900041,0.253136645,0.371522222,72.59445185,36.0773468,0.046055556,0.12396447,15.4520483,72.2,90.0,58.8,36.4,34.9,63.2,41.5,70.2,69.5,88.9,74.7,90.6,89.4,100.0,87.3,57.3,56.7,58.9,64.6,38.7,28.8,39.6,48.0,26.5,31.1,50.9,46.8,62.9,59.4,55.8,73.4,41.2,36.9,23.9,56.5,,,
469,toast ,Toast ,1,2,3,,7.36,3.34,47.69,253,2,50,3.68,1.67,23.845,126.5,0.421238227,0.346391011,0.232370762,0.339611111,21.11145556,45.13221359,0.117,0.344511696,15.08200455,97.9,99.3,46.5,23.0,22.2,44.3,24.4,95.8,98.4,100.0,98.8,100.0,98.4,100.0,100.0,48.7,49.8,47.5,39.0,33.8,20.5,10.5,18.1,23.4,22.8,25.0,19.6,50.9,47.1,30.0,36.2,34.3,24.5,26.0,14.1,,,
470,pancakes with blueberries,Pfannkuchen mit Heidelbeeren,1,2,1,,8,10.65,16,190,4,240,19.2,25.56,38.4,456,0.394622349,0.313022672,0.292354979,0.450688889,39.04345185,86.91628265,0.096222222,0.21350032,17.18356133,89.7,95.8,58.0,40.0,40.0,66.1,40.1,80.9,91.0,91.7,100.0,90.2,99.0,91.7,100.0,51.7,60.6,63.0,60.3,31.6,41.9,38.5,49.7,40.0,39.7,42.6,39.4,60.8,66.9,63.3,73.8,38.8,40.3,19.5,51.1,,,
471,French Toast,Arme Ritter,1,2,1,,5.94,8.16,34.01,235,4,408,24.2352,33.2928,138.7608,958.8,0.401111507,0.325903139,0.272985354,0.497640741,27.01697407,60.31579208,0.130425926,0.262088521,17.80413628,83.7,90.4,48.7,34.8,32.0,49.8,34.2,95.7,81.4,66.7,80.2,96.3,91.4,83.3,82.2,49.2,43.0,67.7,45.0,34.8,29.9,59.3,25.7,32.1,30.1,37.9,31.1,52.4,46.6,63.0,40.9,34.5,35.1,49.4,18.1,,,
472,Cappuccino,Cappuccino,1,2,1,7,2,2,0.6,43,1,160,3.2,3.2,0.96,68.8,0.367324276,0.332446933,0.300228791,0.44112963,26.82241111,45.2311058,0.116592593,0.264304605,16.42049599,87.2,90.7,53.6,36.9,38.5,60.3,44.1,73.1,90.0,100.0,100.0,84.6,90.0,100.0,100.0,50.6,52.1,67.0,59.0,40.2,35.0,38.5,36.1,42.4,42.7,21.0,25.8,66.0,55.1,74.5,60.7,41.7,42.9,45.0,50.8,,,
473,cheeseburger,Cheeseburger,1,2,2,5,15.96,12.54,14.38,235.26,1,245,39.102,30.723,35.231,576.387,0.490269743,0.352276758,0.157453499,0.542381481,53.19561852,49.24331665,0.109888889,0.202604426,16.55073357,99.8,98.8,42.2,29.5,36.0,45.9,28.2,100.0,99.5,100.0,100.0,95.8,100.0,100.0,100.0,45.8,47.0,10.7,36.5,33.9,30.0,11.3,28.5,40.0,33.3,11.3,46.2,55.5,51.9,21.0,25.7,35.1,32.2,8.3,15.3,,,
474,croissant with butter and jam,Croissant mit Butter und Marmelade 2 ,1,2,1,,5.43,32.67,42.67,478.43,3,105,5.7015,34.3035,44.8035,502.3515,0.439674734,0.337423255,0.222902011,0.436022222,32.26415556,48.53859329,0.068685185,0.1575268,16.02087784,99.9,99.0,55.3,31.5,31.3,61.8,31.5,100.0,99.8,100.0,100.0,95.0,100.7,100.0,100.0,50.6,55.9,86.1,45.6,29.3,28.6,66.9,23.3,31.6,26.8,52.0,29.9,57.7,63.4,86.6,52.5,34.4,26.6,54.3,26.8,,,
475,apple Danish,Apfeltasche,1,2,1,,3,14,30,287,1,95,2.85,13.3,28.5,272.65,0.438694454,0.344239726,0.217065821,0.483014815,26.13841852,36.19405746,0.111925926,0.231723588,15.42905045,72.7,77.9,47.3,31.8,31.8,52.8,30.6,74.7,67.6,0.0,87.1,80.6,77.0,0.0,84.3,47.1,52.3,51.0,37.8,33.0,37.0,51.0,18.4,27.6,35.8,38.0,28.4,54.7,57.7,51.0,41.5,37.2,30.6,50.0,20.6,,,
476,espresso,Espresso,1,2,,7,0,0,0,4,1,60,0,0,0,2.4,0.288225109,0.355851793,0.355923098,0.408707407,76.01787407,63.03993225,0.095796296,0.234388451,16.3422184,97.8,100.0,54.9,40.6,28.1,55.1,41.8,100.0,100.0,100.0,88.9,100.0,100.0,100.0,100.0,47.6,63.4,31.3,56.9,39.9,48.9,5.2,35.9,23.7,35.1,13.3,25.5,46.8,65.5,29.2,55.9,41.8,48.4,6.5,39.8,,,
477,glass of gherkins ,Gewürzgurkenglas ,1,2,2,2,0.64,0.18,1.82,16,12,350,2.24,0.63,6.37,56,0.368539455,0.395943871,0.235516674,0.249048148,31.8139963,52.22632599,0.090407407,0.363011763,15.15700245,99.7,100.0,51.4,30.3,35.3,55.6,28.8,100.0,99.3,100.0,100.0,100.0,100.0,100.0,100.0,50.3,50.0,64.0,53.5,29.4,31.9,29.0,28.6,32.8,36.0,22.0,37.7,52.6,52.6,98.0,58.8,41.1,21.5,3.0,33.7,,,
478,pineapple ,Ananas ,1,1,1,1,0.4,0.2,12.4,53,1,900,3.6,1.8,111.6,477,0.37324253,0.370033996,0.256723473,0.140707407,14.18182222,58.32223511,0.06512963,0.462872786,16.46075058,100.0,100.3,61.4,37.1,33.5,68.2,42.2,100.0,100.0,100.0,100.0,100.0,100.6,100.0,100.0,63.5,56.6,73.2,62.9,32.2,37.5,51.6,36.2,26.7,35.3,44.7,33.1,71.2,67.6,78.4,61.7,45.3,42.5,38.7,39.8,,,
479,papaya ,Papaya ,1,1,,1,0.37,0.07,1.73,9,0.5,175,0.6475,0.1225,3.0275,15.75,0.504769001,0.317944967,0.177286032,0.404292593,42.06616667,53.96180344,0.081833333,0.202411162,16.96972084,87.1,82.3,54.6,32.0,38.2,53.5,33.9,90.3,82.7,66.7,99.3,80.6,78.5,66.7,98.6,41.9,55.9,57.0,70.2,27.3,23.4,55.0,48.6,30.7,39.0,60.7,39.5,42.8,54.8,51.3,67.2,32.2,25.7,42.0,50.7,,,
480,rolls in a basket ,Brötchenkorb ,1,2,3,,7.4,1.4,50.6,248,6,570,42.18,7.98,288.42,1413.6,0.438708117,0.311953243,0.24933864,0.51242963,37.44281852,54.39897537,0.096333333,0.187993293,16.99664307,95.7,95.1,52.3,24.7,32.0,54.0,29.9,94.4,94.6,100.0,98.8,93.1,96.0,100.0,94.9,54.8,51.3,54.5,50.6,24.5,20.4,38.0,31.5,31.6,31.9,48.5,28.9,58.2,56.3,36.0,47.3,35.1,27.9,42.5,24.6,,,
481,flat cake with salad,Fladen mit Salat,1,2,2,2,5.9,7.37,29.61,208.85,7,70,4.13,5.159,20.727,146.195,0.401458941,0.37008061,0.228460449,0.340022222,31.36636667,63.68729401,0.089666667,0.263708254,15.69922161,79.3,89.9,55.0,28.4,45.9,57.7,31.8,80.5,71.3,100.0,87.8,83.9,92.9,100.0,92.2,53.9,55.6,19.0,62.9,29.9,29.5,8.0,28.4,42.5,48.5,21.5,51.3,59.0,57.6,44.0,58.8,39.4,29.4,20.5,26.1,,,
482,mixed salad,Teller mit gemischtem Salat,1,1,2,2,1.02,0.18,2.78,17.52,1,270,2.754,0.486,7.506,47.304,0.439445454,0.348683178,0.211871368,0.436103704,37.08365556,60.58238983,0.1385,0.317585012,16.05958557,98.4,99.2,63.7,36.3,46.8,67.8,40.5,97.4,98.0,100.0,100.0,97.4,100.0,100.0,100.0,51.7,67.8,70.0,70.4,42.8,35.0,27.8,33.3,52.1,47.4,41.9,40.1,56.8,72.7,73.3,71.9,36.4,42.7,36.1,44.1,,,
483,pancake with fruits,Pfannkuchen mit Früchten,1,2,1,,5.7,7.3,14.2,148,4,340,19.38,24.82,48.28,503.2,0.453016371,0.301076017,0.245907613,0.511340741,43.74784074,80.01554871,0.116888889,0.228592951,17.07423019,90.0,95.6,58.7,34.9,53.6,65.8,38.3,86.6,92.4,50.0,99.0,98.1,96.8,50.0,100.0,50.7,58.9,90.0,62.0,35.0,34.3,50.0,32.6,50.6,53.8,68.0,54.1,59.2,67.4,89.5,66.6,41.9,31.2,94.0,34.5,,,
484,steak with backed potato and vegetables,Steak mit Backkartoffel und Gemüse,1,2,,5,10.2,1.43,7.71,85.11,10,440,44.88,6.292,33.924,374.484,0.438814003,0.327830419,0.233355578,0.542603704,57.83522593,65.38898468,0.154166667,0.284123875,17.01820374,94.4,97.0,51.3,34.1,54.7,53.2,34.0,98.1,94.9,50.0,100.0,100.0,99.7,50.0,98.9,70.2,63.4,1.0,12.5,38.7,39.3,1.5,24.2,54.2,54.6,48.5,56.8,76.1,63.5,2.5,14.5,55.5,39.8,3.5,3.0,,,
485,burger patty with french fries and salad,Bulette mit Pommes frites und Salat,1,2,2,5,8.45,10.2,20.87,199.64,4,550,46.475,56.1,114.785,1098.02,0.464379781,0.311260449,0.22435977,0.435274074,49.51705185,62.81183243,0.154351852,0.35460842,16.42584038,99.5,99.5,41.6,24.7,48.6,49.7,29.6,100.0,100.0,100.0,97.8,98.3,99.8,100.0,100.0,61.0,43.7,35.3,15.4,41.2,22.7,19.7,11.0,56.4,47.6,50.3,41.1,77.6,51.7,34.0,16.3,56.9,26.1,22.7,6.8,,,
486,spare ribs with french fries and salad,Spare Ribs mit Pommes frites und Sala,1,2,2,5,9.31,11.97,19.16,212.97,3,540,50.274,64.638,103.464,1150.038,0.479298509,0.335015159,0.185686331,0.379,39.24035556,70.00517273,0.107888889,0.284667253,16.49038124,84.9,98.1,46.9,34.2,50.8,56.6,38.2,71.3,94.3,66.7,89.0,93.8,98.5,100.0,102.4,52.3,51.4,44.9,29.5,40.8,37.4,17.4,24.2,47.1,54.9,41.8,50.2,73.0,60.1,42.7,30.3,57.2,36.0,36.2,17.3,,,
487,bagel with cream cheese and vegetables,Bagel mit Frischkäse und Gemüse,1,2,2,,8,7.4,41.5,281,5,110,8.8,8.14,45.65,309.1,0.386470276,0.371319032,0.242210692,0.481344444,37.75532593,60.50064468,0.107777778,0.223909882,16.61045647,88.8,94.7,45.4,25.3,38.1,47.5,28.1,83.9,86.3,100.0,96.3,100.0,93.8,93.8,87.5,39.8,51.1,57.9,39.2,27.2,23.4,43.9,16.2,37.1,44.9,36.1,29.1,43.2,52.6,67.0,36.5,31.9,25.9,44.9,17.0,,,
488,waffle with whipped cream,Waffel mit Sahne,1,2,1,,3.6,21.4,52.5,331,1,80,2.88,17.12,42,264.8,0.407469604,0.31954421,0.272986186,0.445848148,23.41387407,58.56438828,0.099555556,0.223294761,16.01312828,99.0,99.6,54.8,34.6,30.7,65.8,35.0,100.0,99.8,100.0,94.4,98.6,100.0,100.0,100.0,55.4,54.1,67.2,49.8,36.8,31.9,40.7,36.7,29.4,27.3,50.0,33.6,66.3,68.0,69.5,56.1,36.5,31.6,46.0,37.4,,,
489,pizza with salami,Pizza mit Salami,1,2,2,5,10,12,16,245,1,350,35,42,56,857.5,0.48757261,0.295727968,0.216699423,0.471155556,44.35779259,64.47576904,0.155166667,0.329332138,16.73912621,98.5,100.0,51.0,36.3,40.2,55.6,36.1,95.5,99.6,100.0,100.0,100.0,100.0,100.0,100.0,46.1,56.4,53.9,44.5,37.7,43.3,13.4,31.2,35.2,45.5,25.3,44.9,52.7,64.2,41.9,48.4,37.5,49.0,11.9,18.2,,,
490,basket with vegetables,Gemüsekorb,1,1,3,2,2.5,1.05,13,74,56,40,1,0.42,5.2,29.6,0.452887818,0.395156246,0.151955937,0.355648148,26.83278148,33.54730606,0.093777778,0.263681333,14.86317635,72.3,86.8,49.1,24.8,33.5,47.5,23.0,73.5,67.7,50.0,82.0,86.9,83.6,50.0,98.0,41.4,48.3,43.0,59.8,24.8,25.9,18.5,24.0,33.0,35.1,42.0,30.0,40.4,49.3,27.5,55.7,20.2,27.3,14.0,20.6,,,
491,sundae,Eisbecher,1,2,1,,2.93,8,30.46,200.57,1,350,10.255,28,106.61,701.995,0.510227836,0.312331916,0.177440248,0.165340741,16.40084815,61.90721893,0.048074074,0.290757583,16.28385353,99.9,100.2,51.9,36.1,44.7,63.1,40.8,100.0,99.0,100.0,101.0,100.0,99.8,100.0,101.0,57.0,52.4,61.5,44.7,39.1,37.1,49.3,29.4,49.4,42.1,59.3,41.7,66.0,61.3,69.8,61.8,57.1,36.7,47.5,31.2,,,
492,vanilla and chocolate icecream cone,Vanille- Schokoladen Eiswaffeln,1,2,1,3,2.7,8.6,23.5,182,3,489,13.203,42.054,114.915,889.98,0.496779329,0.339030377,0.164190293,0.351196296,39.68301852,45.02212143,0.09362963,0.266601985,15.82288456,100.0,100.0,56.6,38.6,31.6,63.6,38.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,67.2,61.4,55.5,40.8,54.3,39.4,21.5,29.1,32.6,31.3,30.5,31.4,70.4,67.8,60.5,52.1,50.9,40.2,5.0,31.9,,,
493,spare ribs with french fries and salad,Spare ribs mit Pommes frites und Salat,1,2,2,5,8.63,11.26,18.56,202.14,4,590,50.917,66.434,109.504,1192.626,0.491785912,0.292703662,0.215510426,0.42867037,56.46532593,61.51536942,0.110148148,0.256953024,17.28920746,95.2,95.5,47.7,38.0,50.3,53.4,37.9,100.0,98.4,50.0,91.9,100.0,98.9,100.0,81.1,53.6,56.6,63.3,18.1,45.6,43.2,25.0,19.3,55.9,52.6,33.8,41.3,62.0,62.9,78.8,16.4,47.7,44.7,72.8,2.5,,,
494,pretzel,Salzbrezeln,1,2,2,,10,16,64,440,4,10,1,1.6,6.4,44,0.544115588,0.327792458,0.128091955,0.203281481,22.78904444,60.74489212,0.080703704,0.397004701,16.38492584,96.9,99.7,49.6,27.7,24.4,47.5,25.9,100.0,99.2,100.0,85.7,100.0,100.0,100.0,98.2,51.7,46.5,56.5,53.0,23.0,27.8,31.5,32.9,24.8,20.9,48.0,26.9,47.6,45.0,34.0,57.4,21.7,30.3,15.5,22.7,,,
495,breads,Brote,1,2,,,7.23,1.1,45.8,224.5,3,1120,80.976,12.32,512.96,2514.4,0.522102376,0.317114112,0.160783511,0.355062963,42.48522593,45.14357376,0.081685185,0.23005831,16.7818737,89.6,97.4,55.5,35.5,44.6,57.7,36.9,89.1,96.6,66.7,84.4,91.0,99.8,100.0,100.1,49.7,61.5,58.0,51.1,30.6,41.9,26.3,32.8,42.7,45.8,63.0,39.9,53.5,62.5,57.3,54.4,32.7,43.8,21.2,34.2,,,
